          Batch-Size                   d                 2^l     PyTorchTime(us)      cuBLASTime(us)          atTime(us)        CUDATime(us)     Speedup-Pytorch      Speedup-cublas
                  16                   4                   2              27.313              12.202              15.111              11.104               2.460               1.099
                  16                   5                   2              33.515              15.283              18.232              13.277               2.524               1.151
                  16                   6                   2              39.626              18.343              21.283              16.324               2.427               1.124
                  16                   7                   2              45.737              21.475              24.263              18.726               2.442               1.147
                  16                   8                   2              52.889              25.586              27.303              21.619               2.446               1.183
                  16                   9                   2              66.273              36.000              30.273              24.570               2.697               1.465
                  16                  10                   2              73.828              40.000              33.828              29.607               2.494               1.351
                  16                  11                   2             114.273              66.273              48.000              47.151               2.424               1.406
                  16                  12                   2             154.000             102.000              52.000              81.215               1.896               1.256
                  16                  13                   2             226.303             169.020              57.283              91.254               2.480               1.852
                  16                  14                   2             386.566             308.040              78.525             128.762               3.002               2.392
                  16                  15                   2             726.556             599.980             126.576             223.556               3.250               2.684
                  16                  16                   2             670.061             432.586             237.475             403.623               1.660               1.072
                  16                  17                   2            1377.051             927.444             449.606             779.185               1.767               1.190
                  16                  18                   2            2625.364            1764.596             860.768            1423.223               1.845               1.240
                  16                  19                   2            5345.960            3616.556            1729.404            2634.192               2.029               1.373
                  16                  20                   2           11142.727            7575.313            3567.414            5324.080               2.093               1.423
                  16                  21                   2           23033.980           15678.253            7355.727           10983.983               2.097               1.427
                  16                   4                   4              27.222              12.222              15.000              10.593               2.570               1.154
                  16                   5                   4              38.040              20.000              18.040              13.214               2.879               1.514
                  16                   6                   4              64.000              36.000              28.000              31.058               2.061               1.159
                  16                   7                   4             125.152              84.051              41.101              45.140               2.773               1.862
                  16                   8                   4             331.212             210.687             120.525             137.694               2.405               1.530
                  16                   9                   4            1329.677             870.646             459.030             591.128               2.249               1.473
                  16                  10                   4            5677.576            3780.949            1896.626            2450.669               2.317               1.543
                  16                   2                   8              17.000               8.000               9.000               5.404               3.146               1.480
                  16                   3                   8              24.000              12.000              12.000               8.391               2.860               1.430
                  16                   4                   8              40.121              20.121              20.000              18.804               2.134               1.070
                  16                   5                   8             110.455              60.465              49.990              38.317               2.883               1.578
                  16                   6                   8             741.444             411.909             329.535             383.290               1.934               1.075
                  16                   2                  16              17.000               8.000               9.000               5.760               2.951               1.389
                  16                   3                  16              34.000              18.000              16.000              12.949               2.626               1.390
                  16                   4                  16             151.677              71.283              80.394              53.323               2.844               1.337
                  16                   5                  16            2040.152             981.495            1058.657             850.087               2.400               1.155
                  16                   2                  32              21.040              12.010               9.030              10.161               2.071               1.182
                  16                   3                  32              64.475              28.576              35.899              29.795               2.164               0.959
                  16                   4                  32            1611.212             715.111             896.101             741.759               2.172               0.964
                  16                   2                  64              26.000              14.000              12.000              33.446               0.777               0.419
                  16                   3                  64             365.525             174.727             190.798             258.407               1.415               0.676
                  16                   2                 128              39.040              23.232              15.808              83.143               0.470               0.279
                  16                   3                 128            3405.020            1964.990            1440.030            2712.510               1.255               0.724
                  16                   2                 256             157.010             113.828              43.182             150.631               1.042               0.756
                  16                   2                 512             944.707             797.697             147.010             975.077               0.969               0.818
                  16                   2                1024            5943.071            5413.293             529.778            6784.319               0.876               0.798
