          Batch-Size                   d                 2^l     PyTorchTime(us)      cuBLASTime(us)          atTime(us)        CUDATime(us)     Speedup-Pytorch      Speedup-cublas
                 320                   4                   2              28.283              13.121              15.162              18.388               1.538               0.714
                 320                   5                   2              38.505              20.000              18.505              15.844               2.430               1.262
                 320                   6                   2              58.030              30.051              27.980              18.819               3.084               1.597
                 320                   7                   2              74.192              42.192              32.000              22.536               3.292               1.872
                 320                   8                   2             109.000              72.000              37.000              25.932               4.203               2.776
                 320                   9                   2             186.879             134.879              52.000              29.980               6.233               4.499
                 320                  10                   2             333.818             261.768              72.051              55.086               6.060               4.752
                 320                  11                   2             664.788             532.747             132.040             151.571               4.386               3.515
                 320                  12                   2             632.909             396.091             236.818             344.610               1.837               1.149
                 320                  13                   2            1637.596            1189.596             448.000             710.916               2.304               1.673
                 320                  14                   2            2560.909            1673.081             887.828            1387.291               1.846               1.206
                 320                  15                   2            5432.465            3591.394            1841.071            2575.262               2.109               1.395
                 320                  16                   2           12078.556            7629.263            4449.293            5248.018               2.302               1.454
                 320                  17                   2           26626.818           15973.101           10653.717           10940.037               2.434               1.460
                 320                  18                   2           57508.939           33590.828           23918.111           22875.469               2.514               1.468
                 320                  19                   2          121046.404           71075.192           49971.212           48055.260               2.519               1.479
                 320                  20                   2          253928.869          150750.687          103178.182          100838.402               2.518               1.495
                 320                  21                   2          509747.859          312777.586          196970.273          212009.476               2.404               1.475
                 320                   4                   4              45.010              24.010              21.000              13.618               3.305               1.763
                 320                   5                   4             103.424              66.182              37.242              20.736               4.988               3.192
                 320                   6                   4             323.808             194.475             129.333             119.449               2.711               1.628
                 320                   7                   4            1367.384             859.949             507.434             569.649               2.400               1.510
                 320                   8                   4            6995.172            4083.586            2911.586            2430.645               2.878               1.680
                 320                   9                   4           33687.242           17069.818           16617.424           10663.461               3.159               1.601
                 320                  10                   4          146193.687           75613.838           70579.848           47382.446               3.085               1.596
                 320                   2                   8              17.040               8.000               9.040               6.478               2.631               1.235
                 320                   3                   8              36.051              18.000              18.051              12.634               2.853               1.425
                 320                   4                   8             196.263              98.990              97.273              75.246               2.608               1.316
                 320                   5                   8            1638.030             848.697             789.333             771.682               2.123               1.100
                 320                   6                   8           22150.717            8009.030           14141.687            7125.482               3.109               1.124
                 320                   2                  16              25.000              12.000              13.000               8.808               2.838               1.362
                 320                   3                  16             137.010              57.040              79.970              40.508               3.382               1.408
                 320                   4                  16            2995.182            1028.525            1966.657             840.912               3.562               1.223
                 320                   5                  16           74418.939           20252.838           54166.101           17400.106               4.277               1.164
                 320                   2                  32              36.040              14.010              22.030              13.059               2.760               1.073
                 320                   3                  32             903.081             339.364             563.717             348.091               2.594               0.975
                 320                   4                  32           65031.051           14175.879           50855.172           15094.923               4.308               0.939
                 320                   2                  64             104.424              42.424              62.000              52.135               2.003               0.814
                 320                   3                  64           14414.687            2778.768           11635.919            4018.731               3.587               0.691
